Real_SSN,Predicted_SSN,Error_Absoluto
2.053314,2.068228,0.014914
1.351303,1.419094,0.067791
2.119255,2.035236,0.084019
1.274031,1.397429,0.123398
2.256972,2.072522,0.18445
1.981318,2.044067,0.062749
2.17768,2.112432,0.065248
1.882094,1.792076,0.090018
1.416624,1.459239,0.042615
1.998258,1.937487,0.060771
2.186704,2.074252,0.112452
1.395708,1.578898,0.183189
1.414967,1.381678,0.033289
1.411891,1.313704,0.098187
1.877207,2.005019,0.127813
2.00091,1.85493,0.14598
1.92759,1.951165,0.023574
1.588678,1.679882,0.091204
1.324141,1.472624,0.148483
1.424724,1.521352,0.096628
2.28082,2.299733,0.018914
1.971501,2.200031,0.22853
1.408035,1.507606,0.099571
1.723564,1.760936,0.037372
1.344538,1.537224,0.192686
1.388025,1.527339,0.139313
1.754844,1.738132,0.016712
1.250839,1.352493,0.101654
2.089184,2.109991,0.020807
1.435322,1.408647,0.026674
2.29221,2.056164,0.236046
1.522601,1.555612,0.033012
1.287514,1.450256,0.162742
1.681292,1.489025,0.192267
2.164972,2.057717,0.107255
2.344781,2.42365,0.078869
2.072656,1.77468,0.297976
1.477283,1.387535,0.089748
1.492804,1.35279,0.140014
1.299834,1.416393,0.116559
1.818812,1.996337,0.177525
2.0141,1.772242,0.241859
1.943576,2.004051,0.060474
1.641107,1.631947,0.00916
1.499844,1.587304,0.08746
2.356672,2.196483,0.160189
1.420242,1.573558,0.153316
1.61649,1.66982,0.05333
1.263285,1.386705,0.12342
2.072573,2.098521,0.025948
2.256447,2.072557,0.18389
1.365966,1.372284,0.006319
1.786214,1.835054,0.04884
2.082664,2.015298,0.067365
2.428782,2.171173,0.257609
1.94822,1.834937,0.113283
2.248365,2.080608,0.167757
2.041423,1.95261,0.088814
1.917291,1.935915,0.018625
2.236664,2.214194,0.02247
1.930136,1.835409,0.094726
1.682949,1.396564,0.286385
1.654184,1.74033,0.086146
1.479679,1.618959,0.13928
2.375209,2.130988,0.244222
1.598513,1.666677,0.068164
1.446372,1.358589,0.087783
1.479721,1.475237,0.004484
1.697844,1.741508,0.043664
2.44059,2.441897,0.001307
1.294309,1.415941,0.121632
2.27161,2.00087,0.27074
2.23695,2.063068,0.173882
1.310778,1.472216,0.161438
1.897126,1.702074,0.195052
1.411068,1.554886,0.143817
1.58301,1.40781,0.1752
1.440579,1.643046,0.202467
1.880711,1.801692,0.079019
2.367145,2.254203,0.112942
1.621765,1.451416,0.170349
1.525539,1.633447,0.107908
1.371032,1.449994,0.078962
1.926929,1.824258,0.10267
1.316565,1.400271,0.083705
1.373541,1.416499,0.042958
1.494128,1.386029,0.108099
1.370537,1.31637,0.054168
2.092153,1.982057,0.110096
1.403415,1.445334,0.041919
2.062845,2.008617,0.054228
1.413256,1.521404,0.108148
1.450807,1.479793,0.028986
2.018112,2.065093,0.046981
1.404214,1.326662,0.077552
2.206796,2.220295,0.013499
1.58,1.518277,0.061723
2.360248,2.085038,0.27521
1.389313,1.538515,0.149203
1.45874,1.577018,0.118277
1.659685,1.811942,0.152257
2.074975,2.126694,0.051719
1.734787,1.634454,0.100333
2.140772,2.280667,0.139894
1.497865,1.403495,0.09437
1.414925,1.38904,0.025885
1.722532,1.619764,0.102768
1.812988,1.695288,0.1177
1.901966,1.928946,0.026979
1.494402,1.550245,0.055843
1.412404,1.523044,0.110641
1.778257,1.879146,0.100889
2.949613,2.717152,0.232461
1.290345,1.389916,0.09957
1.832962,1.649204,0.183758
1.763511,1.840122,0.076611
1.946312,1.951603,0.005291
2.128947,2.204151,0.075204
1.220363,1.450996,0.230633
2.504992,2.514066,0.009073
2.058035,2.172568,0.114533
1.467043,1.438585,0.028458
2.404368,2.323257,0.081111
1.987213,1.909242,0.077971
1.923394,1.98063,0.057236
1.619101,1.763293,0.144192
2.441352,2.291006,0.150346
2.094036,2.13655,0.042514
1.421493,1.433017,0.011524
2.330917,2.169753,0.161164
1.368606,1.476374,0.107768
1.585406,1.375897,0.209509
1.417548,1.423558,0.006011
1.348198,1.446232,0.098035
2.095085,2.239072,0.143986
2.093989,1.879572,0.214416
1.416498,1.477636,0.061138
1.469362,1.552257,0.082895
1.985949,1.94281,0.043139
1.567465,1.363833,0.203632
1.926792,2.046925,0.120134
1.983225,1.731356,0.251869
2.099794,2.008825,0.090969
1.377446,1.444164,0.066719
1.491046,1.55904,0.067994
1.623136,1.749348,0.126212
2.318609,2.212875,0.105733
