protocol,rank,source_row,processed_file,target_si,mc_si,onnx_si,pytorch_si,activity_band_target,mc_si_residual,mc_si_absolute_error,onnx_si_residual,onnx_si_absolute_error,train_mean_si,record_time_tai,record_time_utc,csv_date_original,csv_date_scale
mc_si,1,1200,hmi.m_45s.2024.02.23_00_01_30_TAI.magnetogram_processed.npy,2.1055042743682861,1.7661762237548828,1.5755298137664795,1.5755302906036377,high,-0.33932805061340332,0.33932805061340332,-0.52997446060180664,0.52997446060180664,1.7683212412299711,2024-02-23T00:01:30,2024-02-23T00:00:53.000Z,2024-02-23 00:00:25.100,unknown
mc_si,2,387,hmi.m_45s.2018.03.17_00_01_30_TAI.magnetogram_processed.npy,1.6140639781951904,1.3088575601577759,1.3431987762451172,1.3431988954544067,medium,-0.30520641803741455,0.30520641803741455,-0.27086520195007324,0.27086520195007324,1.7683212412299711,2018-03-17T00:01:30,2018-03-17T00:00:53.000Z,2018-03-17 00:00:28.000,unknown
mc_si,3,1196,hmi.m_45s.2024.02.20_00_01_30_TAI.magnetogram_processed.npy,2.0726561546325684,1.7746803760528564,1.6078612804412842,1.6078616380691528,high,-0.29797577857971191,0.29797577857971191,-0.46479487419128418,0.46479487419128418,1.7683212412299711,2024-02-20T00:01:30,2024-02-20T00:00:53.000Z,2024-02-20 00:00:24.800,unknown
mc_si,4,394,hmi.m_45s.2018.03.30_00_01_30_TAI.magnetogram_processed.npy,1.6829490661621094,1.3965641260147095,1.3536974191665649,1.3536975383758545,medium,-0.2863849401473999,0.2863849401473999,-0.32925164699554443,0.32925164699554443,1.7683212412299711,2018-03-30T00:01:30,2018-03-30T00:00:53.000Z,2018-03-30 00:00:29.800,unknown
mc_si,5,1460,hmi.m_45s.2025.02.22_00_01_30_TAI.magnetogram_processed.npy,2.3602485656738281,2.0850381851196289,1.8178750276565552,1.817875862121582,high,-0.27521038055419922,0.27521038055419922,-0.54237353801727295,0.54237353801727295,1.7683212412299711,2025-02-22T00:01:30,2025-02-22T00:00:53.000Z,2025-02-22 00:00:25.100,unknown
mc_si,6,1362,hmi.m_45s.2024.10.23_00_01_30_TAI.magnetogram_processed.npy,1.873779296875,2.1455008983612061,1.7434244155883789,1.7434242963790894,high,0.27172160148620605,0.27172160148620605,-0.13035488128662109,0.13035488128662109,1.7683212412299711,2024-10-23T00:01:30,2024-10-23T00:00:53.000Z,2024-10-23 00:00:27.900,unknown
mc_si,7,1725,hmi.m_45s.2026.03.03_00_01_30_TAI.magnetogram_processed.npy,2.2716104984283447,2.0008704662322998,1.7121822834014893,1.7121825218200684,high,-0.27074003219604492,0.27074003219604492,-0.55942821502685547,0.55942821502685547,1.7683212412299711,2026-03-03T00:01:30,2026-03-03T00:00:53.000Z,2026-03-03 00:00:26.100,unknown
mc_si,8,1221,hmi.m_45s.2024.03.26_00_01_30_TAI.magnetogram_processed.npy,2.4287819862365723,2.1711733341217041,1.8402434587478638,1.8402433395385742,high,-0.25760865211486816,0.25760865211486816,-0.5885385274887085,0.5885385274887085,1.7683212412299711,2024-03-26T00:01:30,2024-03-26T00:00:53.000Z,2024-03-26 00:00:29.200,unknown
mc_si,9,984,hmi.m_45s.2023.01.30_00_01_30_TAI.magnetogram_processed.npy,1.9832253456115723,1.7313562631607056,1.6035747528076172,1.6035747528076172,high,-0.2518690824508667,0.2518690824508667,-0.37965059280395508,0.37965059280395508,1.7683212412299711,2023-01-30T00:01:30,2023-01-30T00:00:53.000Z,2023-01-30 00:00:23.000,unknown
mc_si,10,391,hmi.m_45s.2018.03.25_00_01_30_TAI.magnetogram_processed.npy,1.5829384326934814,1.3324836492538452,1.3409273624420166,1.3409273624420166,medium,-0.25045478343963623,0.25045478343963623,-0.24201107025146484,0.24201107025146484,1.7683212412299711,2018-03-25T00:01:30,2018-03-25T00:00:53.000Z,2018-03-25 00:00:29.100,unknown
onnx_si,1,1312,hmi.m_45s.2024.08.09_00_01_30_TAI.magnetogram_processed.npy,2.9496133327484131,2.7171523571014404,2.2511801719665527,2.2511813640594482,high,-0.23246097564697266,0.23246097564697266,-0.69843316078186035,0.69843316078186035,1.7683212412299711,2024-08-09T00:01:30,2024-08-09T00:00:53.000Z,2024-08-09 00:00:37.400,unknown
onnx_si,2,1447,hmi.m_45s.2025.02.06_00_01_30_TAI.magnetogram_processed.npy,2.4413526058197021,2.2910065650939941,1.8189431428909302,1.8189436197280884,high,-0.15034604072570801,0.15034604072570801,-0.62240946292877197,0.62240946292877197,1.7683212412299711,2025-02-06T00:01:30,2025-02-06T00:00:53.000Z,2025-02-06 00:00:23.500,unknown
onnx_si,3,1221,hmi.m_45s.2024.03.26_00_01_30_TAI.magnetogram_processed.npy,2.4287819862365723,2.1711733341217041,1.8402434587478638,1.8402433395385742,high,-0.25760865211486816,0.25760865211486816,-0.5885385274887085,0.5885385274887085,1.7683212412299711,2024-03-26T00:01:30,2024-03-26T00:00:53.000Z,2024-03-26 00:00:29.200,unknown
onnx_si,4,1448,hmi.m_45s.2025.02.07_00_01_30_TAI.magnetogram_processed.npy,2.2922098636627197,2.0561642646789551,1.7158166170120239,1.7158167362213135,high,-0.23604559898376465,0.23604559898376465,-0.5763932466506958,0.5763932466506958,1.7683212412299711,2025-02-07T00:01:30,2025-02-07T00:00:53.000Z,2025-02-07 00:00:23.600,unknown
