repeat,order,protocol,source_row,latency_ms,prediction_si
0,0,pytorch_mc20_cpu,148,638.83779200000004,1.4157310724258423
0,1,pytorch_eval_cpu,148,30.973375000000001,1.3675583600997925
0,2,onnx_eval_cpu,148,25.771709000000001,1.3675587177276611
1,0,onnx_eval_cpu,285,24.498584000000001,1.3815205097198486
1,1,pytorch_mc20_cpu,285,643.71308299999998,1.4579479694366455
1,2,pytorch_eval_cpu,285,31.226291,1.3815203905105591
2,0,pytorch_eval_cpu,681,30.552959000000001,1.3625466823577881
2,1,pytorch_mc20_cpu,681,641.63666699999999,1.365614652633667
2,2,onnx_eval_cpu,681,24.08775,1.3625465631484985
3,0,pytorch_mc20_cpu,411,642.76516600000002,1.4243564605712891
3,1,onnx_eval_cpu,411,25.063500000000001,1.3533458709716797
3,2,pytorch_eval_cpu,411,31.805584,1.3533456325531006
4,0,pytorch_mc20_cpu,1654,641.70820800000001,1.806766152381897
4,1,onnx_eval_cpu,1654,24.254332999999999,1.5464715957641602
4,2,pytorch_eval_cpu,1654,30.24175,1.5464721918106079
5,0,onnx_eval_cpu,1043,24.111041,1.6098963022232056
5,1,pytorch_mc20_cpu,1043,638.52949999999998,1.8282829523086548
5,2,pytorch_eval_cpu,1043,30.130624999999998,1.6098971366882324
6,0,pytorch_mc20_cpu,1060,640.00416600000005,2.0781044960021973
6,1,pytorch_eval_cpu,1060,31.257791999999998,1.7557220458984375
6,2,onnx_eval_cpu,1060,24.056042000000001,1.7557219266891479
7,0,pytorch_eval_cpu,1376,30.899125000000002,1.9020700454711914
7,1,onnx_eval_cpu,1376,23.633500000000002,1.9020698070526123
7,2,pytorch_mc20_cpu,1376,641.82887500000004,2.225548267364502
8,0,onnx_eval_cpu,1312,24.447084,2.2511801719665527
8,1,pytorch_mc20_cpu,1312,628.44933400000002,2.8827483654022217
8,2,pytorch_eval_cpu,1312,30.229666000000002,2.2511813640594482
9,0,pytorch_eval_cpu,148,30.114083999999998,1.3675583600997925
9,1,onnx_eval_cpu,148,24.239875000000001,1.3675587177276611
9,2,pytorch_mc20_cpu,148,642.21254199999998,1.4201551675796509
10,0,pytorch_mc20_cpu,285,633.33454200000006,1.4572889804840088
10,1,onnx_eval_cpu,285,24.219541,1.3815205097198486
10,2,pytorch_eval_cpu,285,30.001207999999998,1.3815203905105591
11,0,onnx_eval_cpu,681,24.286916000000002,1.3625465631484985
11,1,pytorch_mc20_cpu,681,633.975459,1.3537997007369995
11,2,pytorch_eval_cpu,681,29.960999999999999,1.3625466823577881
12,0,pytorch_eval_cpu,411,30.451833000000001,1.3533456325531006
12,1,onnx_eval_cpu,411,24.363541999999999,1.3533458709716797
12,2,pytorch_mc20_cpu,411,635.20187499999997,1.3395776748657227
13,0,pytorch_eval_cpu,1654,31.972708000000001,1.5464721918106079
13,1,onnx_eval_cpu,1654,24.577290999999999,1.5464715957641602
13,2,pytorch_mc20_cpu,1654,628.13379099999997,1.8134641647338867
14,0,pytorch_eval_cpu,1043,30.941749999999999,1.6098971366882324
14,1,onnx_eval_cpu,1043,24.220167,1.6098963022232056
14,2,pytorch_mc20_cpu,1043,638.22979199999997,1.7889840602874756
15,0,pytorch_eval_cpu,1060,31.214500000000001,1.7557220458984375
15,1,pytorch_mc20_cpu,1060,648.88941699999998,2.0676989555358887
15,2,onnx_eval_cpu,1060,24.531084,1.7557219266891479
16,0,onnx_eval_cpu,1376,25.614916999999998,1.9020698070526123
16,1,pytorch_mc20_cpu,1376,639.86345900000003,2.2291293144226074
16,2,pytorch_eval_cpu,1376,30.899374999999999,1.9020700454711914
17,0,onnx_eval_cpu,1312,24.683875,2.2511801719665527
17,1,pytorch_eval_cpu,1312,31.651291000000001,2.2511813640594482
17,2,pytorch_mc20_cpu,1312,640.76675,2.6378273963928223
18,0,pytorch_mc20_cpu,148,640.42770800000005,1.4385024309158325
18,1,onnx_eval_cpu,148,24.315874999999998,1.3675587177276611
18,2,pytorch_eval_cpu,148,31.331083,1.3675583600997925
19,0,pytorch_mc20_cpu,285,640.83349999999996,1.4377663135528564
19,1,pytorch_eval_cpu,285,30.637834000000002,1.3815203905105591
19,2,onnx_eval_cpu,285,24.766667000000002,1.3815205097198486
20,0,pytorch_eval_cpu,681,31.475458,1.3625466823577881
20,1,pytorch_mc20_cpu,681,633.82875000000001,1.4147683382034302
20,2,onnx_eval_cpu,681,24.547459,1.3625465631484985
21,0,onnx_eval_cpu,411,24.603000000000002,1.3533458709716797
21,1,pytorch_mc20_cpu,411,644.03395899999998,1.4379061460494995
21,2,pytorch_eval_cpu,411,30.101500000000001,1.3533456325531006
22,0,pytorch_eval_cpu,1654,30.050416999999999,1.5464721918106079
22,1,pytorch_mc20_cpu,1654,638.52641700000004,1.834164023399353
22,2,onnx_eval_cpu,1654,25.448374999999999,1.5464715957641602
23,0,pytorch_eval_cpu,1043,31.19425,1.6098971366882324
23,1,pytorch_mc20_cpu,1043,641.76870799999995,1.8501672744750977
23,2,onnx_eval_cpu,1043,24.375582999999999,1.6098963022232056
24,0,onnx_eval_cpu,1060,23.428041,1.7557219266891479
24,1,pytorch_eval_cpu,1060,30.892875,1.7557220458984375
24,2,pytorch_mc20_cpu,1060,641.97312499999998,1.995849609375
25,0,onnx_eval_cpu,1376,24.236999999999998,1.9020698070526123
25,1,pytorch_eval_cpu,1376,31.312667000000001,1.9020700454711914
25,2,pytorch_mc20_cpu,1376,637.15920800000004,2.3058323860168457
26,0,pytorch_mc20_cpu,1312,639.14066700000001,2.8712410926818848
26,1,onnx_eval_cpu,1312,24.445291999999998,2.2511801719665527
26,2,pytorch_eval_cpu,1312,31.074000000000002,2.2511813640594482
27,0,pytorch_eval_cpu,148,31.765041,1.3675583600997925
27,1,onnx_eval_cpu,148,23.88775,1.3675587177276611
27,2,pytorch_mc20_cpu,148,634.49479199999996,1.4370006322860718
28,0,pytorch_mc20_cpu,285,643.81524999999999,1.455341100692749
28,1,pytorch_eval_cpu,285,30.544291999999999,1.3815203905105591
28,2,onnx_eval_cpu,285,24.429416,1.3815205097198486
29,0,pytorch_mc20_cpu,681,634.72170800000004,1.3141647577285767
29,1,pytorch_eval_cpu,681,30.02825,1.3625466823577881
29,2,onnx_eval_cpu,681,24.357875,1.3625465631484985
30,0,onnx_eval_cpu,411,24.377165999999999,1.3533458709716797
30,1,pytorch_mc20_cpu,411,635.81949999999995,1.4097061157226562
30,2,pytorch_eval_cpu,411,31.031707999999998,1.3533456325531006
