source_row,metadata_rows,local_file,processed_file,sha256,record_tai,record_utc,day,csv_date_unknown_scale,target_si,target_provenance,split,shape,dtype,candidate,prediction_onnx_si,prediction_api_4dp,selected,context_event_peak_utc,context_event_goes_class,hours_before_context_event,context_noaa,srs_region_present,srs_location,srs_magnetic_type,srs_area_msh,srs_valid_utc,srs_issued_utc,srs_other_regions,srs_path,srs_sha256,harp,harp_noaa_lifetime_mapping,harp_scope,spatial_assignment
306,306,data/processed/hmi.m_45s.2017.08.23_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2017.08.23_00_01_30_TAI.magnetogram_processed.npy,6058521744302aafee8c1fb12c93c8cc942d0abba5045f84a09d36a9ead0b411,2017-08-23T00:01:30,2017-08-23T00:00:53.000Z,2017-08-23,2017-08-23 00:00:36.100,1.5600919723510742,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32,2017_sep,1.4906654357910156,1.4907,False,2017-09-06T12:02:00Z,X9.3,348.0186111111111,12673,False,not_in_spotted_region_table,unknown,,2017-08-23T00:00:00Z,2017-08-23T00:30:00Z,12671;12672,reports/phase2_historical_case/sources/20170823SRS.txt,7fc4f09379e0684f49298c17ff6e620bdaa7521e25270a52944a762f3497af9d,7115,12673,catalog_lifetime_association_not_exact_time_patch_assignment,full_disk_context_only_no_WCS_or_region_mask
307,307,data/processed/hmi.m_45s.2017.08.28_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2017.08.28_00_01_30_TAI.magnetogram_processed.npy,b1abb2278a4245d2601db98fd857dba333e221d8b0fc3dfb2f63fe0663787e93,2017-08-28T00:01:30,2017-08-28T00:00:53.000Z,2017-08-28,2017-08-28 00:00:35.500,1.4797210693359375,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,selection_validation,"(512, 512)",float32,2017_sep,1.4149019718170166,1.4149,False,2017-09-06T12:02:00Z,X9.3,228.0186111111111,12673,False,not_in_spotted_region_table,unknown,,2017-08-28T00:00:00Z,2017-08-28T00:30:00Z,12671;12672,reports/phase2_historical_case/sources/20170828SRS.txt,32fb02bc7e1782042999fc8e45d43dadb57a8a9127bb57780aa44d9df186891c,7115,12673,catalog_lifetime_association_not_exact_time_patch_assignment,full_disk_context_only_no_WCS_or_region_mask
308,308,data/processed/hmi.m_45s.2017.08.30_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2017.08.30_00_01_30_TAI.magnetogram_processed.npy,b0b4f0426458caf8f5d6417a602ece951f216d56d3015a97e8f056eb58d1e303,2017-08-30T00:01:30,2017-08-30T00:00:53.000Z,2017-08-30,2017-08-30 00:00:35.300,1.4737844467163086,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,selection_validation,"(512, 512)",float32,2017_sep,1.43239164352417,1.4324,False,2017-09-06T12:02:00Z,X9.3,180.0186111111111,12673,True,S08E62,Alpha,70.0,2017-08-30T00:00:00Z,2017-08-30T00:30:00Z,12672;12674,reports/phase2_historical_case/sources/20170830SRS.txt,2cabd7238b3703f24eb95b05823f489e0f365d7e4cb808a4d64593277d39fd8d,7115,12673,catalog_lifetime_association_not_exact_time_patch_assignment,full_disk_context_only_no_WCS_or_region_mask
309,309,data/processed/hmi.m_45s.2017.08.31_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2017.08.31_00_01_30_TAI.magnetogram_processed.npy,a6d911523955ddd68156d15e928e353d44530bdb8db654e40e639b47ecfed5fe,2017-08-31T00:01:30,2017-08-31T00:00:53.000Z,2017-08-31,2017-08-31 00:00:35.200,1.508963108062744,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32,2017_sep,1.4398794174194336,1.4399,False,2017-09-06T12:02:00Z,X9.3,156.0186111111111,12673,True,S08E48,Alpha,70.0,2017-08-31T00:00:00Z,2017-08-31T00:30:00Z,12672;12674,reports/phase2_historical_case/sources/20170831SRS.txt,e62d6df02160e92710e6574b1e47eef93b2ca10ff8354aa019a5186cb4bc220c,7115,12673,catalog_lifetime_association_not_exact_time_patch_assignment,full_disk_context_only_no_WCS_or_region_mask
310,310,data/processed/hmi.m_45s.2017.09.03_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2017.09.03_00_01_30_TAI.magnetogram_processed.npy,ce7002ee77db04dfb4f6e4770e563daafa87b68c83664c07b94a75f94bc4ab4a,2017-09-03T00:01:30,2017-09-03T00:00:53.000Z,2017-09-03,2017-09-03 00:00:34.800,1.6488909721374512,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32,2017_sep,1.5283123254776,1.5283,False,2017-09-06T12:02:00Z,X9.3,84.01861111111111,12673,True,S10E09,Beta,60.0,2017-09-03T00:00:00Z,2017-09-03T00:30:00Z,12674;12675;12676,reports/phase2_historical_case/sources/20170903SRS.txt,47d126e286f8972d66a6b0f1b65847faf607c94cfbffb2960b9d07e0e8fc90ee,7115,12673,catalog_lifetime_association_not_exact_time_patch_assignment,full_disk_context_only_no_WCS_or_region_mask
311,311,data/processed/hmi.m_45s.2017.09.13_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2017.09.13_00_01_30_TAI.magnetogram_processed.npy,96aeca89d3694625c899e0e8b0b26f39c2a8e16c065eba7d7c3680f199e54d75,2017-09-13T00:01:30,2017-09-13T00:00:53.000Z,2017-09-13,2017-09-13 00:00:33.600,1.4508068561553955,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,selection_validation,"(512, 512)",float32,2017_sep,1.3814698457717896,1.3815,False,2017-09-06T12:02:00Z,X9.3,-155.9813888888889,12673,False,not_in_spotted_region_table,unknown,,2017-09-13T00:00:00Z,2017-09-13T00:30:00Z,12680,reports/phase2_historical_case/sources/20170913SRS.txt,4c76db7c0cb6b378cd751fb21ce8930f2a6c9e68a8efc0bd32c03535d64bdad2,7115,12673,catalog_lifetime_association_not_exact_time_patch_assignment,full_disk_context_only_no_WCS_or_region_mask
312,312,data/processed/hmi.m_45s.2017.09.14_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2017.09.14_00_01_30_TAI.magnetogram_processed.npy,bf69847f03d93af374c12569905955dfc20e40bfe82a0b6ca5fd714fc265f596,2017-09-14T00:01:30,2017-09-14T00:00:53.000Z,2017-09-14,2017-09-14 00:00:33.400,1.4214932918548584,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,selection_validation,"(512, 512)",float32,2017_sep,1.373340368270874,1.3733,False,2017-09-06T12:02:00Z,X9.3,-179.9813888888889,12673,False,not_in_spotted_region_table,unknown,,2017-09-14T00:00:00Z,2017-09-14T00:30:00Z,12680,reports/phase2_historical_case/sources/20170914SRS.txt,7ba217b3e99ccd3aa3c4f12d14e0ae488d0b387ec1d30fef79c78d3d67ceadd4,7115,12673,catalog_lifetime_association_not_exact_time_patch_assignment,full_disk_context_only_no_WCS_or_region_mask
807,807;808,data/processed/hmi.m_45s.2022.03.24_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2022.03.24_00_01_30_TAI.magnetogram_processed.npy,68dc2c3623c8a8be43afbb383846d8e91f8053876c11f4c5a8c89d222e6743b4,2022-03-24T00:01:30,2022-03-24T00:00:53.000Z,2022-03-24,2022-03-24 00:00:28.900,1.679617166519165,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32,2022_mar,1.4705196619033813,1.4705,True,2022-03-30T17:37:00Z,X1.3,161.60194444444446,12975,True,N13E63,Beta,160.0,2022-03-24T00:00:00Z,2022-03-24T00:30:00Z,12974,reports/phase2_historical_case/sources/20220324SRS.txt,9122a2b8521fb324f5641124d0257ca504763243487376c0d7025e703b23e91d,8088,"12975,12976,12977,12984",catalog_lifetime_association_not_exact_time_patch_assignment,full_disk_context_only_no_WCS_or_region_mask
809,809,data/processed/hmi.m_45s.2022.03.25_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2022.03.25_00_01_30_TAI.magnetogram_processed.npy,0649eb73df8aca13f850e5cc3c1fe0cfa3db1eab712f491ca10cfe5946d05e72,2022-03-25T00:01:30,2022-03-25T00:00:53.000Z,2022-03-25,2022-03-25 00:00:29.000,1.7170906066894531,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32,2022_mar,1.4772802591323853,1.4773,True,2022-03-30T17:37:00Z,X1.3,137.60194444444446,12975,True,N14E55,Beta,160.0,2022-03-25T00:00:00Z,2022-03-25T00:30:00Z,12974;12976,reports/phase2_historical_case/sources/20220325SRS.txt,a4354e4710092620c88488556aaf5b0d8af7396d42368cca9dc5ed7aadff79ff,8088,"12975,12976,12977,12984",catalog_lifetime_association_not_exact_time_patch_assignment,full_disk_context_only_no_WCS_or_region_mask
810,810,data/processed/hmi.m_45s.2022.03.28_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2022.03.28_00_01_30_TAI.magnetogram_processed.npy,298dded8370696077ce460c2f432cc21d0470b66e572c706d37ef2ba4f353e9f,2022-03-28T00:01:30,2022-03-28T00:00:53.000Z,2022-03-28,2022-03-28 00:00:29.500,1.947987079620361,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,selection_validation,"(512, 512)",float32,2022_mar,1.6562585830688477,1.6563,True,2022-03-30T17:37:00Z,X1.3,65.60194444444444,12975,True,N12E05,Beta,50.0,2022-03-28T00:00:00Z,2022-03-28T00:30:00Z,12974;12976;12977;12978,reports/phase2_historical_case/sources/20220328SRS.txt,e995a4c9a5472a2f42e9745098630371f593483cc8e1eb6006e7b619e2531a2b,8088,"12975,12976,12977,12984",catalog_lifetime_association_not_exact_time_patch_assignment,full_disk_context_only_no_WCS_or_region_mask
