catalog_id,begin_utc,peak_utc,end_hhmm_reported,goes_class,satellite,noaa,source_file,source_line_number,raw_line
20170906_7250,2017-09-06T08:57:00Z,2017-09-06T09:10:00Z,0917,X2.2,G13,12673.0,reports/phase2_historical_case/sources/20170906events.txt,45,7250       0857   0910      0917  G13  5   XRA  1-8A      X2.2    1.3E-01   2673
20170906_7340,2017-09-06T11:53:00Z,2017-09-06T12:02:00Z,1210,X9.3,G15,12673.0,reports/phase2_historical_case/sources/20170906events.txt,65,7340 +     1153   1202      1210  G15  5   XRA  1-8A      X9.3    5.7E-01   2673
20170906_7350,2017-09-06T15:51:00Z,2017-09-06T15:56:00Z,1603,M2.5,G15,12673.0,reports/phase2_historical_case/sources/20170906events.txt,82,7350 +     1551   1556      1603  G15  5   XRA  1-8A      M2.5    1.4E-02   2673
20170906_7410,2017-09-06T19:21:00Z,2017-09-06T19:30:00Z,1935,M1.4,G15,12673.0,reports/phase2_historical_case/sources/20170906events.txt,97,7410 +     1921   1930      1935  G15  5   XRA  1-8A      M1.4    8.9E-03   2673
20170906_7450,2017-09-06T23:33:00Z,2017-09-06T23:39:00Z,2344,M1.2,G15,,reports/phase2_historical_case/sources/20170906events.txt,103,7450 +     2333   2339      2344  G15  5   XRA  1-8A      M1.2    5.1E-03       
20170910_9040,2017-09-10T15:35:00Z,2017-09-10T16:06:00Z,1631,X8.2,G15,12673.0,reports/phase2_historical_case/sources/20170910events.txt,49,9040 +     1535   1606      1631  G15  5   XRA  1-8A      X8.2    1.4E00    2673
20220325_2940,2022-03-25T05:02:00Z,2022-03-25T05:26:00Z,0550,M1.4,G17,12974.0,reports/phase2_historical_case/sources/20220325events.txt,24,2940       0502   0526      0550  G17  5   XRA  1-8A      M1.4    2.6E-02   2974
20220328_3390,2022-03-28T10:58:00Z,2022-03-28T11:29:00Z,1145,M4.0,G16,12975.0,reports/phase2_historical_case/sources/20220328events.txt,40,3390 +     1058   1129      1145  G16  5   XRA  1-8A      M4.0    4.4E-02   2975
20220328_3570,2022-03-28T20:49:00Z,2022-03-28T20:59:00Z,2109,M1.1,G16,12975.0,reports/phase2_historical_case/sources/20220328events.txt,100,3570 +     2049   2059      2109  G16  5   XRA  1-8A      M1.1    1.1E-02   2975
20220329_3630,2022-03-29T00:57:00Z,2022-03-29T01:11:00Z,0126,M2.2,G16,12975.0,reports/phase2_historical_case/sources/20220329events.txt,19,3630 +     0057   0111      0126  G16  5   XRA  1-8A      M2.2    2.5E-02   2975
20220329_3640,2022-03-29T01:48:00Z,2022-03-29T01:58:00Z,0203,M1.1,G16,12974.0,reports/phase2_historical_case/sources/20220329events.txt,25,3640 +     0148   0158      0203  G16  5   XRA  1-8A      M1.1    8.0E-03   2974
20220329_3880,2022-03-29T09:17:00Z,2022-03-29T09:38:00Z,0955,M1.0,G16,,reports/phase2_historical_case/sources/20220329events.txt,74,3880       0917   0938      0955  G16  5   XRA  1-8A      M1.0    1.6E-02       
20220329_3990,2022-03-29T21:43:00Z,2022-03-29T21:52:00Z,2157,M1.6,G16,12975.0,reports/phase2_historical_case/sources/20220329events.txt,125,3990 +     2143   2152      2157  G16  5   XRA  1-8A      M1.6    6.3E-03   2975
20220330_4220,2022-03-30T17:21:00Z,2022-03-30T17:37:00Z,1746,X1.3,G16,12975.0,reports/phase2_historical_case/sources/20220330events.txt,61,4220 +     1721   1737      1746  G16  5   XRA  1-8A      X1.3    9.6E-02   2975
20220331_4520,2022-03-31T18:17:00Z,2022-03-31T18:35:00Z,1845,M9.6,G16,12975.0,reports/phase2_historical_case/sources/20220331events.txt,67,4520 +     1817   1835      1845  G16  5   XRA  1-8A      M9.6    7.6E-02   2975
20231214_6640,2023-12-14T07:11:00Z,2023-12-14T07:44:00Z,0800,M5.8,G16,13514.0,reports/phase2_historical_case/sources/20231214events.txt,32,6640 +     0711   0744      0800  G16  5   XRA  1-8A      M5.8    6.6E-02   3514
20231214_6710,2023-12-14T13:29:00Z,2023-12-14T13:48:00Z,1408,M2.3,G16,13514.0,reports/phase2_historical_case/sources/20231214events.txt,56,6710 +     1329   1348      1408  G16  5   XRA  1-8A      M2.3    3.2E-02   3514
