start,end,span_days,net_target_change_pp,decreases,files
2016-02-03,2016-02-12,9.0,0.11472105979919434,2,hmi.m_45s.2016.02.03_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.06_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.08_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.10_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.12_00_01_30_TAI.magnetogram_processed.npy
2016-02-06,2016-02-14,8.0,-0.04292726516723633,3,hmi.m_45s.2016.02.06_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.08_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.10_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.12_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.14_00_01_30_TAI.magnetogram_processed.npy
2016-02-08,2016-02-17,9.0,-0.1468658447265625,4,hmi.m_45s.2016.02.08_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.10_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.12_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.14_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.17_00_01_30_TAI.magnetogram_processed.npy
2016-02-10,2016-02-19,9.0,-0.11230707168579102,3,hmi.m_45s.2016.02.10_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.12_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.14_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.17_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.19_00_01_30_TAI.magnetogram_processed.npy
2016-02-12,2016-02-20,8.0,-0.025278329849243164,2,hmi.m_45s.2016.02.12_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.14_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.17_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.19_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.20_00_01_30_TAI.magnetogram_processed.npy
2016-02-14,2016-02-21,7.0,0.08257627487182617,1,hmi.m_45s.2016.02.14_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.17_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.19_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.20_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.21_00_01_30_TAI.magnetogram_processed.npy
2016-02-17,2016-02-23,6.0,0.029641389846801536,1,hmi.m_45s.2016.02.17_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.19_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.20_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.21_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.23_00_01_30_TAI.magnetogram_processed.npy
2016-02-19,2016-02-28,9.0,0.006860494613647461,1,hmi.m_45s.2016.02.19_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.20_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.21_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.23_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.28_00_01_30_TAI.magnetogram_processed.npy
2016-02-20,2016-02-29,9.0,0.0008940696716308594,1,hmi.m_45s.2016.02.20_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.21_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.23_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.28_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.29_00_01_30_TAI.magnetogram_processed.npy
2016-02-21,2016-03-01,9.0,-0.06325840950012207,2,hmi.m_45s.2016.02.21_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.23_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.28_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.29_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.01_00_01_30_TAI.magnetogram_processed.npy
2016-02-23,2016-03-02,8.0,-0.01187920570373513,2,hmi.m_45s.2016.02.23_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.28_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.29_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.01_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.02_00_01_30_TAI.magnetogram_processed.npy
2016-02-28,2016-03-03,4.0,-0.019425153732299805,2,hmi.m_45s.2016.02.28_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.02.29_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.01_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.02_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.03_00_01_30_TAI.magnetogram_processed.npy
2016-02-29,2016-03-09,9.0,0.05384087562561035,2,hmi.m_45s.2016.02.29_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.01_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.02_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.03_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.09_00_01_30_TAI.magnetogram_processed.npy
2016-03-01,2016-03-10,9.0,0.026684999465942383,2,hmi.m_45s.2016.03.01_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.02_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.03_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.09_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.10_00_01_30_TAI.magnetogram_processed.npy
2016-03-16,2016-03-26,10.0,-0.03374814987182595,3,hmi.m_45s.2016.03.16_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.20_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.23_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.25_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.26_00_01_30_TAI.magnetogram_processed.npy
2016-03-20,2016-03-29,9.0,-0.08301138877868652,3,hmi.m_45s.2016.03.20_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.23_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.25_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.26_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.29_00_01_30_TAI.magnetogram_processed.npy
2016-03-23,2016-03-30,7.0,-0.05717873573303223,3,hmi.m_45s.2016.03.23_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.25_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.26_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.29_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.30_00_01_30_TAI.magnetogram_processed.npy
2016-03-25,2016-03-31,6.0,-0.05825161933898926,3,hmi.m_45s.2016.03.25_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.26_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.29_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.30_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.31_00_01_30_TAI.magnetogram_processed.npy
2016-03-26,2016-04-02,7.0,-0.04063844680786133,2,hmi.m_45s.2016.03.26_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.29_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.30_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.31_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.02_00_01_30_TAI.magnetogram_processed.npy
2016-03-29,2016-04-04,6.0,0.0022649765014646217,2,hmi.m_45s.2016.03.29_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.30_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.31_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.02_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.04_00_01_30_TAI.magnetogram_processed.npy
2016-03-30,2016-04-05,6.0,0.0380396842956543,1,hmi.m_45s.2016.03.30_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.03.31_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.02_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.04_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.05_00_01_30_TAI.magnetogram_processed.npy
2016-03-31,2016-04-06,6.0,-0.00597834587097168,2,hmi.m_45s.2016.03.31_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.02_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.04_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.05_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.06_00_01_30_TAI.magnetogram_processed.npy
2016-04-02,2016-04-07,5.0,-0.07777214050292969,3,hmi.m_45s.2016.04.02_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.04_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.05_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.06_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.07_00_01_30_TAI.magnetogram_processed.npy
2016-04-04,2016-04-11,7.0,0.06192326545715354,2,hmi.m_45s.2016.04.04_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.05_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.06_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.07_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.11_00_01_30_TAI.magnetogram_processed.npy
2016-04-05,2016-04-12,7.0,0.0655829906463623,2,hmi.m_45s.2016.04.05_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.06_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.07_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.11_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.12_00_01_30_TAI.magnetogram_processed.npy
2016-04-06,2016-04-15,9.0,0.13734102249145508,1,hmi.m_45s.2016.04.06_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.07_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.11_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.12_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.15_00_01_30_TAI.magnetogram_processed.npy
2016-04-15,2016-04-25,10.0,-0.24517178535461404,3,hmi.m_45s.2016.04.15_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.18_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.22_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.23_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.25_00_01_30_TAI.magnetogram_processed.npy
2016-04-18,2016-04-26,8.0,-0.13730525970458984,3,hmi.m_45s.2016.04.18_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.22_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.23_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.25_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.26_00_01_30_TAI.magnetogram_processed.npy
2016-04-22,2016-05-01,9.0,0.02852678298950173,2,hmi.m_45s.2016.04.22_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.23_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.25_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.04.26_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.05.01_00_01_30_TAI.magnetogram_processed.npy
2016-05-13,2016-05-20,7.0,-0.8395791053771975,3,hmi.m_45s.2016.05.13_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.05.17_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.05.18_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.05.19_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.05.20_00_01_30_TAI.magnetogram_processed.npy
2016-05-17,2016-05-21,4.0,0.028264522552490012,3,hmi.m_45s.2016.05.17_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.05.18_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.05.19_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.05.20_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.05.21_00_01_30_TAI.magnetogram_processed.npy
2016-05-18,2016-05-22,4.0,-0.06763935089111306,4,hmi.m_45s.2016.05.18_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.05.19_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.05.20_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.05.21_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.05.22_00_01_30_TAI.magnetogram_processed.npy
2016-06-01,2016-06-09,8.0,-0.040465593338012695,3,hmi.m_45s.2016.06.01_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.06.02_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.06.05_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.06.07_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.06.09_00_01_30_TAI.magnetogram_processed.npy
2016-06-02,2016-06-11,9.0,-0.05831122398376465,3,hmi.m_45s.2016.06.02_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.06.05_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.06.07_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.06.09_00_01_30_TAI.magnetogram_processed.npy;hmi.m_45s.2016.06.11_00_01_30_TAI.magnetogram_processed.npy
