source_row,metadata_rows,local_file,processed_file,sha256,record_tai,record_utc,day,csv_date_unknown_scale,target_si,target_provenance,split,shape,dtype
0,0,data/processed/hmi.m_45s.2016.02.03_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.02.03_00_01_30_TAI.magnetogram_processed.npy,1eb213cc891f9ac651080589ab1f58ebcf372d214899b933b0f375a564424f5f,2016-02-03T00:01:30,2016-02-03T00:00:54.000Z,2016-02-03,2016-02-03 00:00:24.200,1.6141116619110107,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
1,1,data/processed/hmi.m_45s.2016.02.06_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.02.06_00_01_30_TAI.magnetogram_processed.npy,da9cd0bdd41b6533ebda7e59982562ce6db2702be1d49283c1d01ef4527c34f6,2016-02-06T00:01:30,2016-02-06T00:00:54.000Z,2016-02-06,2016-02-06 00:00:24.500,1.7181217670440674,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
2,2,data/processed/hmi.m_45s.2016.02.08_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.02.08_00_01_30_TAI.magnetogram_processed.npy,04bd3dd09518bfd1352e7317df8e6cae035c8186eb815a99f7263ed4cb2e9e3d,2016-02-08T00:01:30,2016-02-08T00:00:54.000Z,2016-02-08,2016-02-08 00:00:24.600,1.807492971420288,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
3,3,data/processed/hmi.m_45s.2016.02.10_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.02.10_00_01_30_TAI.magnetogram_processed.npy,23da37767ccc0a6d5aee9d54edf11f08616a1950a0a3f6da953bd92a360d806a,2016-02-10T00:01:30,2016-02-10T00:00:54.000Z,2016-02-10,2016-02-10 00:00:24.800,1.8072664737701416,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
4,4,data/processed/hmi.m_45s.2016.02.12_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.02.12_00_01_30_TAI.magnetogram_processed.npy,3b813cdeae398307d87910b5f853a4f3a420cdf059bec734ae321b0dec74a6ba,2016-02-12T00:01:30,2016-02-12T00:00:54.000Z,2016-02-12,2016-02-12 00:00:25.000,1.728832721710205,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
5,5,data/processed/hmi.m_45s.2016.02.14_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.02.14_00_01_30_TAI.magnetogram_processed.npy,3c5588e7dcafa842d3b9c35705ab5ef9956844a9a16afdca3b241fec183313e5,2016-02-14T00:01:30,2016-02-14T00:00:54.000Z,2016-02-14,2016-02-14 00:00:25.200,1.675194501876831,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
6,6,data/processed/hmi.m_45s.2016.02.17_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.02.17_00_01_30_TAI.magnetogram_processed.npy,6fb8435aea6da6928067329656acde3fadf4093964a5f04415ca3ebe60662c7f,2016-02-17T00:01:30,2016-02-17T00:00:54.000Z,2016-02-17,2016-02-17 00:00:25.400,1.6606271266937256,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
7,7,data/processed/hmi.m_45s.2016.02.19_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.02.19_00_01_30_TAI.magnetogram_processed.npy,cfc92fce85df6845d5a8826c2d51c71393caea829b4d1fb6fe721e89da0c91b0,2016-02-19T00:01:30,2016-02-19T00:00:54.000Z,2016-02-19,2016-02-19 00:00:25.600,1.6949594020843506,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
8,8,data/processed/hmi.m_45s.2016.02.20_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.02.20_00_01_30_TAI.magnetogram_processed.npy,43de5b072890ee003a312be412c51bb5f15e97b5355799b3cd54bb512ef8c7c1,2016-02-20T00:01:30,2016-02-20T00:00:54.000Z,2016-02-20,2016-02-20 00:00:25.700,1.703554391860962,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
9,9;10,data/processed/hmi.m_45s.2016.02.21_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.02.21_00_01_30_TAI.magnetogram_processed.npy,db872162c24ad4d3e2647d3d6f1a17ebd2fac8793ef1c13efdceff1063d1f17f,2016-02-21T00:01:30,2016-02-21T00:00:54.000Z,2016-02-21,2016-02-21 00:00:25.800,1.7577707767486572,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
11,11,data/processed/hmi.m_45s.2016.02.23_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.02.23_00_01_30_TAI.magnetogram_processed.npy,48e26e00070937d747d6fc678443c4337e4edad71aacfdf7a94053871d21c968,2016-02-23T00:01:30,2016-02-23T00:00:54.000Z,2016-02-23,2016-02-23 00:00:26.100,1.6902685165405271,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
12,12,data/processed/hmi.m_45s.2016.02.28_00_01_30_TAI.magnetogram_processed.npy,hmi.m_45s.2016.02.28_00_01_30_TAI.magnetogram_processed.npy,13e3cf5a3da1f61a38494927ace479a3ddf91dec78a7e6dec26d616b2049c33d,2016-02-28T00:01:30,2016-02-28T00:00:54.000Z,2016-02-28,2016-02-28 00:00:26.700,1.701819896697998,stored_original_4096x4096_pixel_percentage_not_recomputed_from_npy,train,"(512, 512)",float32
