Real_SSN,Predicted_SSN,Error_Absoluto
2.901882,2.709468,0.192414
1.613647,1.414487,0.19916
1.743877,1.625413,0.118464
1.49036,1.547258,0.056897
1.880711,1.821652,0.059059
1.475066,1.605249,0.130183
2.362919,2.225206,0.137713
1.553565,1.595667,0.042102
2.078819,1.999182,0.079637
2.500272,2.418184,0.082087
1.817036,1.953244,0.136209
2.507073,2.58072,0.073648
1.444745,1.591771,0.147026
1.418471,1.509437,0.090966
2.530032,2.615679,0.085646
1.563966,1.524194,0.039772
1.621372,1.62197,0.000598
1.907372,2.029378,0.122006
1.675534,1.770784,0.09525
1.420242,1.558353,0.138111
1.418763,1.449714,0.030951
1.589757,1.368774,0.220984
2.14209,2.12338,0.018709
1.595312,1.45708,0.138232
1.97829,2.075166,0.096876
1.720709,1.491752,0.228957
1.44096,1.528578,0.087618
1.959163,1.757405,0.201758
1.499844,1.580702,0.080859
2.095085,2.183528,0.088442
2.27161,2.038776,0.232835
1.382631,1.406324,0.023693
2.181858,2.153726,0.028131
1.461422,1.531408,0.069985
1.785034,1.602133,0.182901
1.512414,1.602918,0.090504
2.046019,1.765274,0.280745
1.68258,1.545869,0.136711
2.193982,2.234292,0.040311
1.633328,1.369478,0.263851
2.521473,2.474818,0.046655
1.363915,1.370118,0.006203
1.645029,1.698053,0.053024
1.496935,1.455381,0.041554
2.20626,1.936947,0.269313
1.375341,1.487674,0.112333
1.594043,1.758632,0.16459
1.827908,1.62844,0.199467
1.386374,1.400106,0.013732
1.903814,1.820981,0.082833
1.792604,2.025078,0.232474
1.508361,1.424152,0.084209
1.365477,1.500718,0.135242
1.942563,1.89277,0.049793
1.284844,1.451999,0.167156
1.812524,1.897465,0.084942
1.244789,1.377795,0.133006
2.107453,2.163549,0.056096
1.491112,1.507695,0.016584
1.308948,1.37199,0.063042
2.009136,1.825511,0.183624
1.704776,1.514748,0.190028
1.881892,1.968097,0.086206
1.61525,1.445883,0.169367
2.118814,2.051373,0.067441
1.789254,1.69157,0.097684
1.496386,1.365513,0.130874
2.039516,1.801644,0.237872
1.852232,1.833246,0.018986
2.360248,2.1756,0.184648
1.404214,1.371713,0.032501
1.71448,1.862543,0.148063
2.140963,1.859824,0.28114
2.256125,2.260418,0.004293
1.857239,1.828501,0.028738
2.187395,2.266796,0.079401
1.486063,1.673714,0.187651
1.447392,1.54093,0.093539
2.43879,2.30812,0.13067
2.181029,2.000193,0.180837
1.643312,1.489587,0.153725
1.645243,1.818624,0.17338
1.321894,1.455124,0.13323
1.858282,1.862501,0.004219
1.719344,1.715925,0.003418
1.399827,1.418495,0.018668
1.626492,1.354608,0.271884
1.630562,1.433866,0.196696
1.631153,1.473504,0.157648
2.00907,1.952812,0.056258
1.422298,1.455472,0.033174
1.378536,1.36209,0.016446
1.976108,1.803276,0.172833
2.087998,2.07783,0.010169
1.598513,1.58967,0.008843
2.284539,1.970488,0.31405
2.507073,2.360474,0.146599
1.436692,1.383368,0.053325
2.346367,2.278507,0.067859
1.423597,1.483355,0.059758
2.086502,1.947406,0.139097
1.604527,1.389742,0.214785
1.9665,2.103402,0.136901
1.280737,1.410723,0.129986
2.008939,1.921408,0.087531
1.983076,1.909265,0.073811
1.412118,1.416183,0.004066
1.927948,1.902637,0.025311
1.467997,1.368525,0.099472
2.500272,2.386964,0.113308
1.523948,1.381084,0.142863
1.5077,1.462137,0.045563
1.253742,1.433628,0.179886
1.60287,1.324342,0.278528
1.635176,1.653523,0.018347
2.264398,2.24844,0.015958
1.973611,2.043716,0.070105
1.884127,1.974083,0.089956
1.618171,1.651064,0.032893
2.458108,2.301114,0.156993
1.876849,1.854829,0.02202
1.434648,1.527046,0.092398
1.378352,1.433944,0.055593
1.398641,1.401504,0.002863
1.619101,1.739367,0.120266
1.494831,1.47465,0.020181
1.810658,2.066686,0.256028
1.5064,1.625612,0.119212
2.405661,2.486768,0.081106
1.390278,1.563109,0.172831
1.890451,1.934268,0.043817
1.900959,1.84704,0.05392
1.65137,1.484936,0.166434
1.949829,1.866993,0.082836
1.452482,1.47561,0.023128
2.234495,2.109182,0.125313
2.43761,2.232569,0.205041
1.440579,1.590194,0.149616
2.307719,2.183794,0.123925
1.380712,1.565938,0.185226
1.354754,1.484215,0.129461
1.408035,1.518664,0.110629
1.244128,1.412129,0.168002
2.186167,2.24705,0.060883
1.861912,1.904147,0.042235
2.256447,2.10036,0.156087
1.451474,1.431233,0.020242
1.641846,1.666814,0.024968
1.845688,1.795009,0.050678
2.006382,2.109948,0.103566
2.14209,2.075556,0.066533
1.373833,1.423901,0.050067
1.450479,1.640594,0.190115
2.356672,2.15783,0.198842
1.971501,2.187204,0.215703
1.414925,1.434018,0.019093
1.692522,1.679913,0.012609
2.141738,2.002888,0.13885
1.983225,1.827374,0.155852
1.742303,1.875314,0.13301
1.621765,1.452803,0.168962
1.923394,1.9895,0.066106
1.274031,1.381778,0.107746
1.724207,1.628039,0.096169
1.400769,1.379093,0.021676
2.11618,2.113992,0.002188
1.351303,1.47431,0.123008
2.133727,2.043996,0.089731
2.049345,2.019627,0.029718
2.353549,2.211061,0.142488
1.529718,1.403302,0.126415
1.466167,1.527578,0.061411
1.615786,1.712818,0.097032
2.089184,2.096636,0.007451
1.335251,1.417745,0.082494
1.885372,1.887861,0.002488
1.832962,1.655093,0.177869
2.065647,2.125591,0.059944
2.003193,2.000426,0.002767
1.652795,1.761874,0.109078
1.715267,1.801274,0.086007
1.621765,1.449228,0.172537
1.809692,1.873153,0.063461
1.549995,1.544757,0.005238
1.334524,1.488801,0.154276
1.985979,1.764959,0.22102
2.099794,2.062366,0.037428
2.256972,1.975218,0.281754
1.466972,1.531783,0.064811
2.454746,2.61734,0.162594
1.64423,1.786013,0.141783
1.471984,1.44874,0.023244
1.722532,1.609707,0.112826
1.612866,1.713068,0.100202
1.320732,1.439322,0.11859
1.621372,1.624679,0.003307
1.498908,1.43416,0.064748
2.089053,2.023491,0.065562
1.903814,1.882902,0.020912
1.588678,1.748093,0.159415
2.072656,1.783111,0.289545
2.072656,1.815572,0.257084
1.467562,1.71756,0.249999
2.012634,1.807422,0.205213
1.632088,1.419309,0.21278
1.987213,1.90447,0.082743
1.448858,1.491976,0.043118
2.325779,2.265643,0.060136
2.321327,2.31017,0.011157
1.395196,1.48121,0.086014
1.434869,1.355633,0.079236
1.878679,1.724582,0.154096
1.316673,1.42538,0.108707
1.774615,2.062461,0.287846
2.273572,2.04976,0.223811
2.063787,1.853054,0.210733
2.198488,2.139147,0.05934
2.417636,2.401835,0.015801
1.291549,1.444865,0.153315
1.368588,1.494782,0.126194
1.55499,1.660966,0.105976
2.507299,2.199226,0.308074
